FID,LAT,LONG_,ELEV,dailymet_livneh2015
22,36.96875,-104.40625,2431.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-104.40625
23,36.96875,-104.46875,2410.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-104.46875
24,36.96875,-104.53125,2306.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-104.53125
25,36.96875,-104.59375,2367.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-104.59375
26,36.96875,-104.65625,2353.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-104.65625
27,36.96875,-104.71875,2331.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-104.71875
28,36.96875,-104.78125,2396.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-104.78125
29,36.96875,-104.84375,2466.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-104.84375
30,36.96875,-104.90625,2528.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-104.90625
31,36.96875,-104.96875,2637.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-104.96875
32,36.96875,-105.03125,2688.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-105.03125
33,36.96875,-105.09375,2616.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-105.09375
34,36.96875,-105.15625,2721.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-105.15625
35,36.96875,-105.21875,3154.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-105.21875
36,36.96875,-105.28125,3316.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-105.28125
37,36.96875,-105.34375,3513.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-105.34375
38,36.96875,-105.40625,2815.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-105.40625
39,36.96875,-105.46875,2563.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-105.46875
40,36.96875,-105.53125,2441.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-105.53125
41,36.96875,-105.59375,2336.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-105.59375
42,36.96875,-105.65625,2376.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-105.65625
43,36.96875,-105.71875,2366.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-105.71875
44,36.96875,-105.78125,2338.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-105.78125
45,36.96875,-105.84375,2348.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-105.84375
46,36.96875,-105.90625,2400.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-105.90625
47,36.96875,-105.96875,2452.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-105.96875
48,36.96875,-106.03125,2498.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-106.03125
49,36.96875,-106.09375,2572.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-106.09375
50,36.96875,-106.15625,2672.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-106.15625
51,36.96875,-106.21875,2779.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-106.21875
52,36.96875,-106.28125,2896.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-106.28125
53,36.96875,-106.34375,3098.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-106.34375
54,36.96875,-106.40625,3174.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-106.40625
55,36.96875,-106.46875,3065.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-106.46875
56,36.96875,-106.53125,2687.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-106.53125
57,36.96875,-106.59375,2701.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-106.59375
58,36.96875,-106.65625,2588.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-106.65625
59,36.96875,-106.71875,2672.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-106.71875
60,36.96875,-106.78125,2457.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-106.78125
61,36.96875,-106.84375,2459.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-106.84375
62,36.96875,-106.90625,2193.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-106.90625
63,36.96875,-106.96875,2263.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-106.96875
64,36.96875,-107.03125,2228.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-107.03125
65,36.96875,-107.09375,2162.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-107.09375
66,36.96875,-107.15625,2205.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-107.15625
67,36.96875,-107.21875,2087.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-107.21875
68,36.96875,-107.28125,2174.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-107.28125
69,36.96875,-107.34375,2151.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-107.34375
70,36.96875,-107.40625,1994.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-107.40625
71,36.96875,-107.46875,1918.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-107.46875
72,36.96875,-107.53125,2011.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-107.53125
73,36.96875,-107.59375,1994.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-107.59375
74,36.96875,-107.65625,2085.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-107.65625
75,36.96875,-107.71875,2028.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-107.71875
76,36.96875,-107.78125,2069.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-107.78125
77,36.96875,-107.84375,1996.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-107.84375
78,36.96875,-107.90625,1886.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-107.90625
79,36.96875,-107.96875,1946.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-107.96875
80,36.96875,-108.03125,1989.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-108.03125
81,36.96875,-108.09375,1865.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-108.09375
82,36.96875,-108.15625,1816.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-108.15625
83,36.96875,-108.21875,1860.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-108.21875
84,36.96875,-108.28125,1964.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-108.28125
85,36.96875,-108.34375,1975.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-108.34375
86,36.96875,-108.40625,1949.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-108.40625
87,36.96875,-108.46875,1941.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-108.46875
88,36.96875,-108.53125,1791.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-108.53125
89,36.96875,-108.59375,1785.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-108.59375
90,36.96875,-108.65625,1732.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-108.65625
91,36.96875,-108.71875,1650.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-108.71875
92,36.96875,-108.78125,1582.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-108.78125
93,36.96875,-108.84375,1549.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-108.84375
94,36.96875,-108.90625,1531.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-108.90625
95,36.96875,-108.96875,1473.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-108.96875
96,36.96875,-109.03125,1500.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.96875_-109.03125
97,36.90625,-103.03125,1350.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.90625_-103.03125
98,36.90625,-103.09375,1397.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.90625_-103.09375
99,36.90625,-103.15625,1442.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.90625_-103.15625
100,36.90625,-103.21875,1476.0,/home/jovyan/work/notebooks/data/70b977e22af544f8a7e5a803935c329c/70b977e22af544f8a7e5a803935c329c/data/contents/livneh2015/Daily_MET_1950_2013/raw/Meteorology_Livneh_NAmerExt_15Oct2014_36.90625_-103.21875
